question id,question,alternate questions,answer,sme
61d5a8e48fecd3770d0811a9,Does your company have an access control policy?,"Does your company have an access control policy? Are documented policies, procedures, and guidelines in place to govern change in employment and/or termination? How do they ensure that notifications are given consistently for all terminated employees in a timely manner and that none are missed? How are your workforce members’ access rights requested, assigned, modified, or terminated for information systems containing our plan’s data? Is there a regular review of all accounts and related privileges?  Please describe. Is there a process to vet and authorize employees to work with and access customer data?","['Yes', ""INTERNAL NOTE: Definition for Joiners, Leavers and Movers (JLM): process to add access for New EEs, remove access for Terminated EEs, Update access for Transferred EEs All users of UnitedHealth Group information technology systems are uniquely identified and authenticated before access to information assets and/or information technology systems is granted. Provisioning access follows defined and documented processes for granting new or modified levels of information technology system access. Access Authorization Approval Controls Only UnitedHealth Group Leadership can approve Information Technology (IT) system access requests. Managers or a delegated authority may approve access for employees, contractors, or others who report either directly or indirectly to them, or where they have received approval authority from Enterprise Information Security (EIS) to grant access to certain systems. Formal approval must be granted to third parties who approve and manage their third-party employee's and contractor's access to UnitedHealth Group systems. Requests to modify the access rights of an employee or contractor must be approved by his or her manager. Information Owner, or delegate approval is required if determined based upon risk and the classification of the information involved. A manager cannot approve his or her own access. Separation of duties must exist between the request and approval for authorization. Access Authorization Process Access to Information Technology (IT) systems may only be granted when based upon documented business justification and approved by management. Managers are responsible for ensuring that all access that they approve for a user is appropriate to the user's job function. The use of standard UnitedHealth Group provisioning processes and technologies, and corporate role-based access control tools are strongly advised. Periodic Review of General Access Accounts Standard user access will be reviewed by their manager or assigned delegate on a semi-annual basis. A standard user is anyone who is using an information technology (IT) system. UnitedHealth Group may require more frequent access reviews, as determined by internal and external risk drivers. Periodic Review of Privileged Access Accounts Privileged user access will be reviewed at least semi-annually. A privileged user is a user who has been allocated elevated rights within an information technology (IT) system, which are significantly greater than those available to the majority of employees and contractors. Terminations When an employee or contractor leaves UnitedHealth Group or an external party no longer performs services for UnitedHealth Group, the employee's or contractor's manager or business owner responsible for the external party must take appropriate actions, per Self Service on HRdirect, to ensure the employee or contractor is aware of confidential obligations and physical and logical access privileges are revoked in a timely manner. Revoking Access Managers promptly notify the relevant Human Resource (HR) organization of all terminated employees or contractors: Platform access must be revoked as soon as possible, but no later than two (2) business days after termination. When an employee is involuntarily terminated via disciplinary action, platform access is revoked immediately. UnitedHealth Group reserves the right to end active sessions where an employee may already be authenticated to the network Application access is revoked within 10 business days The employee or contractor must return all computing devices (i.e. workstations and laptops), Smart Cards, removable media. And either return hard copy containing Protected Information or Confidential Information, or indicate it has been securely destroyed on or before the last day of employment. The employee's or contractor's access cards, Smart Cards, identification (ID) badges, and keys are revoked The employee's or contractor's personal effects are removed from the premises Offices and information assets used by departing employees or contractors must be inventoried by their management, and business records must be properly retained, per UnitedHealth Group's Enterprise Records Management Policy. INTERNAL NOTE: If needed, here is the file referenced. UnitedHealth Group - Records Management - Enterprise Records and Information Management ERIM Policy.pdf""]","Akoussan, Aristide"
61d5a2308fecd3770d080b0a,Does your company perform vulnerability assessments?,"Does your company perform vulnerability assessments? Does the Vendor conduct, or contract, penetration testing on all external facing components of their production environment at least annually or after any significant system or service changes? Are vulnerability scans performed? Are web applications configured to follow best practices or security guidelines (ie, OWASP)? So secure code reviews include regular analysis of vulnerability to recent attacks? Are application penetration tests conducted by a third party? Do vulnerability assessments include devices with an IP address, devices connected to an associated IP-address or internal network, and identification of any changes, pending updates or missing software patches?","['Yes', 'At UnitedHealth Group, vulnerability assessments are conducted during development and throughout the life of the information system. Penetration tests of UnitedHealth Group’s external web applications are performed annually by third party industry-leading security vendors. Internal penetration testing is done by the Ethical Hacking team. Standard operating procedure is to leverage a risk-based approach to identify specific applications to be included in each annual test. The external vulnerability scanning, performed as part of the penetration tests, includes scans for web application vulnerabilities in accordance with OWASP guidance. In addition to the external network penetration testing, UnitedHealth Group performs periodic Application web-based scanning, and static code analysis for external facing critical business applications. As a matter of good practice, UnitedHealth Group does not disclose detailed information concerning security assessment results. Executive summary-level reports are available to senior management, which provide an overview of the process and results tabulated by severity level. The remediation of potential issues identified during scans is addressed based on the residual risk exposure.']","Arnold, Beth"
61d5a2318fecd3770d080b1f,"Have you had any reportable breaches in the last year? If so, please provide a summary.","Have you had any reportable breaches in the last year? If so, please provide a summary. Is there a process for handling of breaches? Has the vendor experienced any data breaches in last 365 days? What is your plan of action when there is a security breach? Have you experienced data breach or security incidents within the past 12 months? Have you had a security breach in the last two years? If yes, what was the nature of the breach?","['INTERNAL NOTE: The ultimate yes/no response should ultimately be determined by working with Legal.', 'As a matter of practice, the Company does not disclose details concerning security or privacy incidents and investigations, except to comply with applicable laws, regulations and contractual obligations, including the US Department of Health & Human Services (HHS) breach regulations. Confirmed breaches involving more than 500 individuals are posted to the HHS Breach Website and small breaches are filed on an annual basis with the HHS Office for Civil Rights. Our Company understands it’s responsibility to protect confidential and proprietary information and to maintain availability and integrity of information systems and assets. This commitment is integral to the relationships we have with customers, suppliers, and other stakeholders. The Company also understands the sensitivity and seriousness of an information breach. Our Company is committed to investigate all reported matters. We take any alleged or confirmed incident seriously. When we become aware of a potential or actual incident, a systematic investigation is promptly undertaken to analyze, contain, recover, and implement post-incident management including the review of any customer, member, and regulator notification obligations. Corrective action often includes employee retraining, coaching, and review to determine if disciplinary action is appropriate. We have a trained staff proficient in various disciplines such as Compliance, Privacy, Security, Information Risk Management, Legal Counsel, and executive leadership, who provide expertise during this process as circumstances warrant.']","Niska, Douglas / DiCarlantonio, Deanna"
61d5a2308fecd3770d080b05,"Is there an established Business Resiliency & Response program that has been approved by management, communicated to appropriate constituents, and an owner to maintain and review the program?","Does your company have a business continuity program? Describe your business continuity processes. What is the organization's formal business continuity plan or strategy for ensuring the operational continuity of our contracted services following a disaster?  If available, please provide a copy. Can the backup site handle all client load for a long-term outage (i.e., one month or longer)? invoke trigger","['Yes', 'INTERNAL NOTE: We do update quarterly but the preferred language is ""a minimum of twice annually"" Our Business Continuity Plans (BCPs) are part of UnitedHealth Group\'s overall Enterprise Resiliency & Response program that responds to disaster events, restores critical business function processes and resumes normal business function operations in a prioritized manner. These worst-case scenarios cover impacts from all types of disasters, both natural and human-caused. The following scenarios are provided as planning recovery objectives: Loss of Facility: Complete interruption of facilities without access to its equipment, local data and content. The interruption may impact a single site or multiple sites in a geographic region. Loss of Critical People: Complete interruption with 100% loss of personnel within the first 24 hours and 50% loss of personnel long-term. The interruption may impact a single site or multiple sites in a geographic area. Loss of Critical Systems: Complete interruption and/or access of critical systems and data located at the various Data Centers for an extended period. Loss of Critical Vendors: Complete interruption in a service or supply provided by a third-party vendor(s). Recovery from anything less than complete interruption will be achieved for these scenarios by using appropriate portions of the plan. After clearly defining the business recovery objectives, our teams develop recovery strategies needed to meet these objectives. These recovery strategies vary between Business Segment and the overall criticality rating of the business function or process, which provides guidance on a minimum recovery time objective. We update business continuity plans a minimum of twice annually and exercise annually.', 'INTERNAL NOTE: We do update quarterly but the preferred language is ""a minimum of twice annually"" UnitedHealth Group developed an Enterprise Resiliency & Response Program that minimizes customer impact from disrupted service in a significant event or disaster, while aiding compliance to published regulatory guidelines. We have plans to address all natural and human-caused disasters (i.e. hurricanes, floods, fires, terrorism, and pandemics). The business continuity plans focus on critical business functions and planning for the worst-case scenario so that we can react quickly and efficiently, adding value to our business and customers through effective risk reduction, compliance with industry, contractual or regulatory standards, and safeguarding of operations and assets. UnitedHealth Group\'s business impact analysis and subsequent business continuity plans are written to accommodate the following four scenarios: Loss of Facility: Complete interruption of facilities without access to its equipment, local data, and content. The interruption may impact a single site or multiple sites in a geographic region. Recovery from anything less than complete interruption will be achieved by using appropriate portions of the plan. Loss of Critical People: Complete interruption with 100% loss of personnel within the first 24 hours and 50% loss of personnel long-term. The interruption may impact a single site or multiple sites in a geographic area. Recovery from anything less than complete interruption will be achieved by using appropriate portions of the plan. Loss of Critical Systems: Complete interruption and/or access of critical systems and data located at the various UnitedHealth Group data centers for an extended period of time. Recovery from anything less than complete interruption will be achieved by using appropriate portions of the plan. Loss of Critical Vendor: Complete interruption in a service or supply provided by a third-party vendor. Recovery from anything less than complete interruption will be achieved by using appropriate portions of the plan. The impact of the operational loss due to one, or all, of these scenarios is assessed as part of the original Business Impact Analysis and annually thereafter. The business continuity plans are updated a minimum of twice annually and exercised annually. Business continuity plans are leveraged as needed to address all forms of emergencies, which may impact business operations including short and long-term events. Examples of short-term events include power outages and winter weather office closings. These plans also address more severe, long-term situations, such as building fires and major hurricanes. As a matter of good practice, UnitedHealth Group does not disclose specific information concerning business disruptions. UnitedHealth Group has never needed to implement our disaster recovery plans in response to a catastrophic outage of technology at our production data centers. Business functions classified as critical generally provide for near immediate failover of core services by leveraging geographically dispersed, redundant operations and maintaining a recovery time objective of 72 hours or less. The plans are written to respond to a disaster lasting a minimum of 90 days. In the event a disaster impacts our members, we will comply with any and all emergency orders mandated by the state Department of Insurance, Centers for Medicare and Medicaid Services (CMS), or Health and Human Services (HHS). The Event Management Team continually monitors for natural disasters and the potential impact on healthcare delivery services. If the situation warrants it, emergency provisions may be provided, even if not mandated. An overview document is available, which describes the governance, strategy, and controls for the entire program. This document is not intended to replace the business continuity or disaster recovery plan review, but does provide the reassurance that UnitedHealth Group has a well-defined program in place to make sure customer impact is minimized during a disaster. INTENRAL NOTE: There are two documents— one for Optum and one for Enterprise. Please use the correct document and modify the language below. Please refer to the document titled: UnitedHealth Group - BCP-DR - Enterprise Resiliency and Response Customer Response Document.pdf Due to the sensitive nature of the information, our complete business continuity and disaster recovery plans are considered proprietary and confidential. For audit purposes, the plans may be viewed in a controlled environment with UnitedHealth Group subject matter experts available to answer questions. The plans may not be copied or removed after the meeting. This policy is in place to protect not only UnitedHealth Group operations and employees, but also the security, integrity, and confidentiality of protected information.']","Carlson, Catherine"
61d5a8e38fecd3770d08116d,Is company information backed up regularly?,Is company information backed up regularly? Are backups of scoped systems and data performed? Is there a policy or process for the backup of production data? Are backup integrity and related restoration procedures tested at least annually? Are backup and restoration errors reviewed and resolved as required? Are data backups encrypted?,"['Yes', 'INTERNAL NOTE: Strategy for Tape Management – In 2019-2020 we migrated away from using physical tape for long-term data retention. Currently, only unexpired data resides on tape. Company information must be backed up on a regularly scheduled basis to ensure availability of Company information and limit data loss in the event of an outage. UnitedHealth Group Optum Technology or the business organization information technology groups are responsible for developing, documenting, and implementing backup schedules. This includes outlining the type of backup, interval, storage location, and the number of copies for all Company information under their control. Appropriate business and technical owners are accountable for determining what assets are backed-up per UnitedHealth Group\'s Classification Levels. Backups may include but are not limited to: Master files databases Transactions files System programs/utilities, Application software Parameter settings, or System documentation UnitedHealth Group maintains sole custody of the data at all times by transmitting over our secured channels. UnitedHealth Group is the sole entity in the chain of custody for the data, and has opted to encrypt the data, at the time the media is written, for risk mitigation purposes. The data encryption occurs at the time the tape media is created using industry accepted encryption algorithms (256-Bit Advanced Encryption Standard (AES)). UnitedHealth Group invests significant resources in its information security program and uses a number of network, security monitoring, and encryption technologies to protect our environment and maintain the confidentiality and integrity of the data and information entrusted to us. In both mainframe and distributed environments, UnitedHealth Group’s strategy is to encrypt data at rest without regard to its content or type at the storage media (device) level on both disk and tape. The primary and secondary locations are not fixed entities and can change based on business demands and operational need (i.e. growth, expansion or disaster recovery). In the mainframe environment, UnitedHealth Group uses geographically dispersed mainframes for ""Rapid Recovery"" that use UnitedHealth Group\'s internally secured networks to transmit the backup data. In this situation, UnitedHealth Group maintains sole custody of all data at both primary and secondary locations. In addition, UnitedHealth Group has implemented several mitigating controls to ensure data is protected, such as in sourcing of its tape management facilities, implementing a Rapid Recovery solution to ensure data is protected and available should there be a situation requiring the recovery of data, onsite process for data eradication of disk drives that are replaced during maintenance, and data eradication on all decommissioned storage arrays to Department of Defense (DOD) standards prior to leaving UnitedHealth Group\'s controlled facilities further mitigate the risk of exposure. Operational Backups The Data Protection Infrastructure exists in all primary technology centers. Data is segregated by production/non-production and functional characteristics (i.e. Wintel, UNIX, Database, Archive). UnitedHealth Group\'s Backup Strategy includes: Systems and databases are backed up daily and weekly Database backups are retained for 28 days Deleted files are kept in the system for 90 days Connection to backup server is across the UnitedHealth Group Wide Area Network, data is written to the alternate location, eliminating the need for third party offsite storage Primary use: Disaster Recovery of systems as defined by the Recovery Point Objective and the Recovery Time Objective (RPO and RTO) at an alternate site Retention/Preservation Data retention requirements driven by Legal/Risk Information Management Policies Based on governance requirements and drive retention periods (Preservation orders, Sarbanes-Oxley Act (SOX), Health Insurance Portability and Accountability Act (HIPAA). These are separate from operational backups']","Page, Sandra (Sandy)"
61d5a2308fecd3770d080b10,Is your IT environment audited?,"Is your IT environment audited? Do you conduct external & internal audits regularly as prescribed by industry best practices and guidance? Are controls validated by independent, third party auditors or information security professionals? How often do you conduct regular security control reviews of IT systems (by Internal Audit, a trusted third party, etc.)? pentest","['Yes', ""The company's IT environment is audited by various internal and external entities. UnitedHealth Group contracts with various third party vendors to perform assessments on behalf of management of its internal IT controls via ICFR (Internal Controls over Financial Reporting) and SSAE (Statement on Standards for Attestation Engagements) audits. These audits are inclusive of platform and application controls and are performed continuously to ensure operating effectiveness throughout each year. UnitedHealth Group's businesses self-assess their control environment (both IT and operational controls, where applicable) via Internal Audits and HITRUST assessments, which are spread throughout each year. Various regulatory agencies, as well as, UnitedHealth Group customers perform audits of UnitedHealth Group throughout each year, which include a review of key IT and operational controls. The results of most assessments are confidential to UnitedHealth Group and are not typically shared outside the company, with the exception of, but not limited to SSAE SOC 1 Type 2 reports, where allowed and penetration test result summaries. SSAE SOC 1 Type 2 is the audit standard under which our independent auditor issues our SSAE SOC 1 Type 2.""]","Hicks, Diane"
61d5a2308fecd3770d080b15,Are encryption keys managed and maintained?,"Are encryption keys managed and maintained? Are encryption keys generated in a manner consistent with key management industry standards? Is data-at-rest protected? If Yes, please explain technologies used for protection in the Comments section Does your organization use encryption to secure sensitive data at rest, data in motion, and/or data in use?","['Yes', 'UnitedHealth Group invests significant resources in its information security program and uses a number of network, security monitoring and encryption technologies to protect our environment and maintain the confidentiality and integrity of the data and information entrusted to us. In both mainframe and distributed environments, UnitedHealth Group’s strategy is to encrypt data at rest without regard to its content or type at the storage media (device) level on both disk and tape. Encryption of Confidential Information and/or Protected Information in transit is encrypted over UnitedHealth Group private network The standard/methodology utilized for encryption is Data at Rest Encryption (DARE) using Self Encrypting Drives (SED) with a minimum AES-256 bit cypher key and validated FIPS 140-2 compliance. Encryption Key Management When a storage array is placed into production, the encryption key is enabled. All data that is subsequently written to that array, regardless of type, origin or classification, is encrypted. UHG does not “partially” encrypt its arrays. Encryption keys are created entirely within the systems themselves and are not visible, recognizable, or changeable by any administrator. There is no external list. Even if encryption is turned off, encrypted data cannot be “read” or deciphered by any individual. The encryption keys are managed several different ways depending on environment: In the mainframe environment, the encryption keys are managed remotely using the IBM product SKLM (Secure Key Lifecycle Manager). This remote key manager is responsible for any maintenance related to the array encryption keys. In the distributed core environment, the encryption keys are either managed remotely using the HP product ESKM (Enterprise Secure Key Manager) This remote key manager is responsible for any maintenance related to the array encryption keys. OR For the arrays, the encryption keys are managed locally on the Storage array. The keys are created, stored and duplicated within the memory/controller subsystem of the array. Secondary backups of these keys are created and stored on the array management station in case of storage array failure. Strategy – Data In-Flight (transmission) to Third Party Locations All data electronically transmitted off-site to third party providers is encrypted at AES 256.']","Page, Sandra (Sandy)"
61d5a2308fecd3770d080b0b,Restricting Comingled Customer Data From Unauthorized Access,"Restricting Comingled Customer Data From Unauthorized Access Are the development and testing environment(s) separate from the production environment? How is the client data segregated from other clients to prevent data leakage? Are data from different customers kept separate/segregate?
Do you have the ability to logically segment or encrypt customer sensitive data such that data may be produced for a single tenant only, without inadvertently accessing another tenant's data?
How is comingled client data restricted from unauthorized access?","['Yes', ""UnitedHealth Group supports a shared managed services environment in which various systems and applications share the same hardware. Your data would reside on databases along with other customers' data. Each customer's data is logically separated from other customer's data by the assignment of a unique ID to each customer. Access and use of these environments by UnitedHealth Group personnel is based on the user's job function and must be approved by management. Each customer can only access the data associated with their assigned unique ID.""]","Hicks, Diane"
61d5a8e48fecd3770d081199,Formal / Documented Information Technology Disaster Recovery Exercise and Testing Program in Place,"Are response and recovery plans tested?  Is there an annual schedule of planned disaster recovery exercise and tests? Does your company maintain business continuity and disaster recovery plans? Is there a formal, documented information technology disaster recovery exercise and testing program in place?","['Yes', 'UnitedHealth Group maintains over 450 business continuity plans and over 800 disaster recovery plans. DR Plans for the highest critical applications identified within business continuity plans are refreshed at least once each year and tested annually. There are a variety of test techniques including tabletop (practical or simulated exercise), structured walk-through (functional), large or full-scale (live or real-life exercise), and emergency response. Exercise dates vary by plan and span the entire calendar year. A formal test exercise report identifying any gaps, issues, and/or enhancements identified through testing, is published and monitored for remediation. For Disaster Recovery (DR), when applicable, the DR plans are remediated. For Business Continuity (BC), when the remediation plan is complete, the plan is certified by the appropriate Executive Leadership. This certification process must occur annually and is monitored by the Program Steering Committee.', 'UnitedHealth Group maintains over 450 business continuity plans and over 800 disaster recovery plans. DR Plans for the highest critical applications identified within business continuity plans are refreshed at least once each year and tested annually. There are a variety of test techniques including tabletop (practical or simulated exercise), structured walk-through (functional), large or full-scale (live or real-life exercise), and emergency response. Exercise dates vary by plan and span the entire calendar year. A formal test exercise report identifying any gaps, issues, and/or enhancements identified through testing, is published and monitored for remediation. For Disaster Recovery (DR), when applicable, the DR plans are remediated. For Business Continuity (BC), when the remediation plan is complete, the plan is certified by the appropriate Executive Leadership. This certification process must occur annually and is monitored by the Program Steering Committee. Functional exercises are done for a subset of business continuity plans depending on their recovery strategies. Each year our businesses determine which of their operations will conduct functional exercises to validate that they can work from alternate locations, use cross-trained staff or implement manual workarounds for applications. DR Plans for applications identified as critical within business continuity plans are exercised annually. Exercises can be done using different methodologies depending on multiple factors. Any of these methods can be used to meet the annual exercise requirement including: Functional application restoration and validation; Infrastructure recovery testing and validation; and Tabletop review of recovery plans. To maintain the confidentiality of our member and employee information, as well as, the integrity of our business operations, UnitedHealth Group does not allow customers to participate in business continuity or disaster recovery plan exercises. BC exercises are not rated as pass/fail: the walkthrough and tabletop scenario are used to exercise and stretch the recovery teams, the Notification Exercise is conducted through our employee alert system (Everbridge) and requires that 85% of the recovery team reply to the notification within one hour, and the functional exercises (done for a subset of BC plans) have success criteria defined in advance to scope the exercise, however unexpected outcomes are as valuable as expected ones in terms of learnings and plan updates. UnitedHealth Group is willing to consider participation in customer business continuity exercises designed to highlight the communication and response capabilities between UnitedHealth Group and external parties in a positive and collaborative manner. Please work with your Customer Account Executives at least 3 months prior to the exercise date. They will engage our Enterprise Resiliency & Response Office so that the relevant details, such as timing, scope, approach, expectations, and travel needs can be finalized and the customer cost estimated. Please note, due to confidentiality reasons, UnitedHealth Group does not share our business continuity plans during customer exercises.']","Carlson, Catherine / Truini, Donna"
61d5a2308fecd3770d080b08,Do your security policies require standard encryption solutions and protocols?,"Do your security policies require standard encryption solutions and protocols? Does the system or service transmit (internal and external) regulated or confidential data using a minimum protocol of TLS 1.2, and an encryption algorithm and strength of AES-256?  Is data-in-transit protected? If Yes, please explain technologies used for protection in the Comments section Is HTTPS enabled for all web pages? How does Vendor secure Client Data that is transmitted over public networks?  * Describe the file encryption mechanisms you support for sending/receiving data. Please describe how you secure data during transport/transport/transmission.","['Yes', ""UnitedHealth Group's Information Security Policies and Standards require that standard encryption solutions and protocols be employed in the external transmission of confidential and proprietary information. This includes but is not limited to: SSH SFTP (FTP over SSH) HTTPS (HTTP over SSL) Information Security Policies, standards, procedures, technical protocol, and operation protocols ensure the control of secured information transmissions. Selected encryption algorithms used to protect data must be industry tested and peer-reviewed according to best practice standards (i.e. Advanced Encryption Standard (AES)-256). This provides verification of strength against known attacks along with validation of sufficient key length and random key distribution to minimize brute force attack and mathematical analysis of keys. In addition, UnitedHealth Group encryption technology standards require a minimum key length of 256-bits for secret (symmetric) encryption and 2048-bits for public/private (asymmetric) encryption. These are the minimum standards. Longer key lengths may have been implemented within specific environments, based on risk. Secure hash algorithms are used to create a message digest with a minimum length of 256 bits.""]","Page, Sandy"
